Ticker,Date,Time,Open,High,Low,Close,Volume,Open Interest
RELIANCE.NSE,07/07/2025,13:03:59,1541.8,1542,1541.4,1542,13933,0
RELIANCE.NSE,07/07/2025,13:04:59,1541.9,1542,1541.3,1541.4,15268,0
RELIANCE.NSE,07/07/2025,13:05:59,1541.5,1541.5,1540.9,1541.1,8823,0
RELIANCE.NSE,07/07/2025,13:06:59,1541,1541.1,1540.5,1541,12309,0
RELIANCE.NSE,07/07/2025,13:07:59,1541,1541,1540.5,1540.6,9328,0
RELIANCE.NSE,07/07/2025,13:08:59,1540.6,1541.5,1540.6,1541.4,17020,0
RELIANCE.NSE,07/07/2025,13:09:59,1541.5,1541.5,1541.4,1541.4,6229,0
RELIANCE.NSE,07/07/2025,13:10:59,1541.4,1541.4,1540.2,1540.2,17492,0
RELIANCE.NSE,07/07/2025,13:11:59,1540.9,1541.3,1540.4,1541,8018,0
RELIANCE.NSE,07/07/2025,13:12:59,1541.3,1541.5,1541,1541.3,6537,0
RELIANCE.NSE,07/07/2025,13:13:59,1541.5,1541.7,1541.3,1541.5,10715,0
RELIANCE.NSE,07/07/2025,13:14:59,1541.5,1541.5,1541.3,1541.5,5287,0
RELIANCE.NSE,07/07/2025,13:15:59,1541.5,1541.6,1541,1541,38912,0
RELIANCE.NSE,07/07/2025,13:16:59,1541.4,1542.1,1540.5,1540.5,44751,0
RELIANCE.NSE,07/07/2025,13:17:59,1540.5,1540.9,1540.2,1540.5,7907,0
RELIANCE.NSE,07/07/2025,13:18:59,1540.8,1541.7,1540.7,1541.7,8247,0
RELIANCE.NSE,07/07/2025,13:19:59,1541.7,1541.8,1541.2,1541.8,15182,0
RELIANCE.NSE,07/07/2025,13:20:59,1541.8,1542,1541.6,1542,8273,0
RELIANCE.NSE,07/07/2025,13:21:59,1541.9,1542,1541.8,1541.9,18049,0
RELIANCE.NSE,07/07/2025,13:22:59,1541.9,1542,1541.8,1541.9,6363,0
RELIANCE.NSE,07/07/2025,13:23:59,1541.8,1541.8,1541,1541,18090,0
RELIANCE.NSE,07/07/2025,13:24:59,1541.3,1542,1541.3,1541.9,6214,0
RELIANCE.NSE,07/07/2025,13:25:59,1541.9,1542,1541.8,1541.9,7621,0
RELIANCE.NSE,07/07/2025,13:26:59,1541.8,1541.9,1541.5,1541.6,6380,0
RELIANCE.NSE,07/07/2025,13:27:59,1541.5,1541.9,1541.5,1541.7,8574,0
RELIANCE.NSE,07/07/2025,13:28:59,1541.7,1541.7,1540.8,1541.2,10000,0
RELIANCE.NSE,07/07/2025,13:29:59,1541.2,1541.2,1540,1540,22160,0
RELIANCE.NSE,07/07/2025,13:30:59,1540.2,1540.4,1540,1540.4,7280,0
RELIANCE.NSE,07/07/2025,13:31:59,1540.4,1540.4,1540,1540.2,5435,0
RELIANCE.NSE,07/07/2025,13:32:59,1540.3,1540.4,1539.9,1540.3,11369,0
RELIANCE.NSE,07/07/2025,13:33:59,1540.3,1540.8,1540.1,1540.8,5721,0
RELIANCE.NSE,07/07/2025,13:34:59,1540.8,1541.1,1540.7,1541.1,5161,0
RELIANCE.NSE,07/07/2025,13:35:59,1541.1,1541.3,1541.1,1541.1,4811,0
RELIANCE.NSE,07/07/2025,13:36:59,1541.2,1541.3,1540.3,1540.4,18166,0
RELIANCE.NSE,07/07/2025,13:37:59,1540.5,1540.9,1540.2,1540.8,5622,0
RELIANCE.NSE,07/07/2025,13:38:59,1540.8,1541.1,1540.5,1541.1,12056,0
RELIANCE.NSE,07/07/2025,13:39:59,1541,1541.2,1541,1541.1,15424,0
RELIANCE.NSE,07/07/2025,13:40:59,1541.1,1541.4,1541,1541.1,13671,0
RELIANCE.NSE,07/07/2025,13:41:59,1541.1,1541.3,1541,1541.1,4971,0
RELIANCE.NSE,07/07/2025,13:42:59,1541.1,1541.4,1541,1541.1,10056,0
RELIANCE.NSE,07/07/2025,13:43:59,1541,1541.1,1541,1541.1,6890,0
RELIANCE.NSE,07/07/2025,13:44:59,1541.1,1541.7,1541.1,1541.6,20376,0
RELIANCE.NSE,07/07/2025,13:45:59,1541.7,1542.2,1541.4,1542.1,33636,0
RELIANCE.NSE,07/07/2025,13:46:59,1541.5,1541.8,1541.1,1541.7,13810,0
RELIANCE.NSE,07/07/2025,13:47:59,1541.2,1542,1541.2,1541.8,9778,0
RELIANCE.NSE,07/07/2025,13:48:59,1542,1542,1541.7,1541.9,9504,0
RELIANCE.NSE,07/07/2025,13:49:59,1542,1542.1,1541.9,1542.1,7916,0
RELIANCE.NSE,07/07/2025,13:50:59,1542.1,1542.1,1542,1542,9098,0
RELIANCE.NSE,07/07/2025,13:51:59,1542,1542.1,1541.2,1541.7,13931,0
RELIANCE.NSE,07/07/2025,13:52:59,1541.7,1541.8,1540,1540.3,20772,0
RELIANCE.NSE,07/07/2025,13:53:59,1540,1541.3,1539.9,1541,68675,0
RELIANCE.NSE,07/07/2025,13:54:59,1541.1,1541.1,1541,1541,11177,0
RELIANCE.NSE,07/07/2025,13:55:59,1541.1,1542.1,1541,1541.9,38236,0
RELIANCE.NSE,07/07/2025,13:56:59,1541.9,1542,1541.3,1541.8,15002,0
RELIANCE.NSE,07/07/2025,13:57:59,1541.6,1541.8,1541.5,1541.8,10043,0
RELIANCE.NSE,07/07/2025,13:58:59,1541.7,1542.1,1541.7,1542.1,8984,0
RELIANCE.NSE,07/07/2025,13:59:59,1542.1,1542.1,1542,1542.1,13297,0
RELIANCE.NSE,07/07/2025,14:00:59,1542.1,1542.5,1542,1542.5,12178,0
RELIANCE.NSE,07/07/2025,14:01:59,1542.4,1543.1,1542,1543.1,68214,0
RELIANCE.NSE,07/07/2025,14:02:59,1543.1,1543.7,1543,1543.2,64234,0
RELIANCE.NSE,07/07/2025,14:03:59,1543.2,1543.7,1542.6,1543.7,23008,0
RELIANCE.NSE,07/07/2025,14:04:59,1543.7,1544.8,1543.6,1544.4,39450,0
